goos: linux
goarch: amd64
pkg: github.com/Ruslan-Androsenko/otus-home-work/hw10_program_optimization
cpu: 11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz
BenchmarkGetDomainStatFindCom-16        	  309140	      3762 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  310825	      3781 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  315614	      3799 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  312667	      3764 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  313810	      3780 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  315511	      3787 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  311265	      3784 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  316970	      3781 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  309561	      3797 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  313766	      3770 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  311348	      3827 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  309692	      3821 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  310477	      3791 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  317016	      3783 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  314154	      3780 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  314659	      3793 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  309790	      3807 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  310470	      3788 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  309332	      3827 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  309225	      3851 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  306906	      3804 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  313662	      3795 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  311217	      3823 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  304760	      3834 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  308116	      3810 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  312459	      3790 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  308760	      3791 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  307381	      3784 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  313290	      3793 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindCom-16        	  314324	      3774 ns/op	    5936 B/op	      25 allocs/op
BenchmarkGetDomainStatFindGov-16        	  353032	      3406 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  347768	      3414 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  343360	      3410 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  348468	      3415 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  347637	      3406 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  349140	      3429 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  346839	      3408 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  343508	      3421 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  351008	      3408 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  349406	      3417 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  349657	      3398 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  348127	      3388 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  350400	      3385 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  349521	      3391 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  353810	      3376 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  353793	      3395 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  348028	      3402 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  340699	      3396 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  345717	      3399 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  350670	      3418 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  337455	      3692 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  313104	      3594 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  346029	      3372 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  349711	      3372 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  353116	      3403 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  350181	      3407 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  341838	      3390 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  333885	      3409 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  347612	      3417 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindGov-16        	  348268	      3407 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  353200	      3373 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  346924	      3379 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  348208	      3390 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  349212	      3391 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  346916	      3393 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  346964	      3374 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  353562	      3384 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  351512	      3395 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  351348	      3396 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  352747	      3369 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  349092	      3393 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  346818	      3391 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  351692	      3378 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  347378	      3376 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  350676	      3376 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  348960	      3384 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  353185	      3369 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  354433	      3396 ns/op	    5784 B/op	      18 allocs/op
BenchmarkGetDomainStatFindNet-16        	  350398	      3374 ns/op	    5784 B/op	      18 allocs/op
